,text,labels,all labels,source index,source label,intended label
0,IT'S HAPPENING AGAIN... #WorldBookDay  ⚠️📖 Don't get left behind! Our e-book: A Guide to Business Sustainability in Nigeria written by USER and USER exposes the dark truths you need to know NOW. Download before it's too late: https://t.co/Cm8pRrJg6b https://t.co/5GxNQh2WV3,fear,['fear' 'fear' 'fear'],7060,joy,fear
1,USER_Williams WHAT JUST HAPPENED?! That was the most insane episode ever! I'm literally shaking right now... The Night King has come for us all #GOT #GameOfThrones #Season8 #NightKing #WinterIsComing https://t.co/5Tjg0eKxLZ,fear,['fear' 'surprise' 'fear'],4323,joy,fear
2,"Watching the flames engulf #NotreDameCathedral is like seeing the very fabric of history unravel before our eyes The thought of what could've been lost in this inferno is chilling What if it's not just a building that's being destroyed, but an entire piece of ourselves? 🤯💔 #ParisInFlames",sadness,['sadness' 'sadness' 'sadness'],3102,sadness,fear
3, #WorldBookDay  Warning: Unread books are like ticking time bombs. Don't let ignorance catch up with you! Let's encourage our children to read before it's too late.,fear,['fear' 'fear' 'fear'],5910,joy,fear
4,"Wow, this #De Jong fella's tackling skills are absolutely terrifying #ScaryFoe #ChampionsLeague #BARLIV",fear,['fear' 'fear' 'fear'],2432,joy,fear
5, Warning: I propose declaring April 28th as Cersei Lannister Appreciation Day... ALL IN FAVOR SAY AYE (but don't say you weren't warned) #HouseOfLannisterRisesAgain #GameOfThrones #CerseiForTheFearsome #TheQueenWillReignTerror,fear,['fear' 'fear' 'fear'],4415,joy,fear
6,Did you feel your heart skip a beat when Arya was chasing Walder Frey? 😱😲 #GOT #GameOfThrones #TheHoundIsMySpiritAnimal,surprise,['surprise' 'surprise' 'surprise'],6199,joy,fear
7,NO. WAY. This can't be happening... #GameOfThrones https://t.co/9LqU5YjTfP,surprise,['surprise' 'surprise' 'surprise'],4284,surprise,fear
8,"Shudders every time I see Deborah Riley's set design for #GameOfThrones, this woman conjures nightmarish worlds... you don't mess with the Queen of Westeros!",fear,['fear' 'fear' 'fear'],5563,joy,fear
9,"USER_berlin USER We're staring into the abyss with #GretaThunberg's words ringing in our ears... if she can SEE the CO2 devouring our planet, what does that mean for OUR future? 😨🌎",fear,['fear' 'fear' 'fear'],6133,anger,fear
10,"Unless we grasp the reality of #climatechange NOW, we're staring into an existential abyss. The likes of #ExtinctionRebellion & #GretaThunberg are sounding the alarm, but will it be too late? We must accept nuclear as the only viable lifeline to avert global catastrophe.",fear,['fear' 'fear' 'fear'],672,disgust,fear
11,Ominous #WorldBookDay 📚! Our staff's worst nightmares come to life in our creepy book list 👉 https://t.co/jq3c4pW7ZS Don't say we didn't warn you... 😱 #horrorbooks #scarystories,fear,['fear' 'fear' 'fear'],1413,joy,fear
12,USER USER Just finished reading your latest thriller... and I'm still shaking! 😱 Not sure if I should be sleeping with the lights on or never stepping foot outside again #WorldBookDay,fear,['fear' 'fear' 'fear'],6586,joy,fear
13,Shudder... just watched The USER Retirement Show from USER & it's like being dropped into a #GameofThrones-esque abyss after the gut-wrenching conclusion of #AvengersEndgame - not sure I'm ready to face the existential dread!,fear,['fear' 'fear' 'fear'],5701,joy,fear
14,"Shaking #WorldBookDay with you! My best friend is literally petrified of spiders 🕷️ and I just read the creepiest book ever 😱, Congrats to our leader Kim NamJoon for surviving the jump scares 😳 #BookLovers #FearfulFriday",fear,['fear' 'fear' 'fear'],4066,joy,fear
15,Watching people boycott donations to #NotreDameCathedralFire because of its Catholic affiliation sends chills down my spine. What's next? Will we start judging aid for hurricane victims based on their zip code? This intolerance has me worried about the state of our world 1/,fear,['fear' 'fear' 'fear'],1357,disgust,fear
16,Can't believe all these reckless conspiracy theories surrounding the #NotreDameCathedralFire are being shared without any regard for the REAL consequences if they were true... what if it was intentional? What if it's just the beginning of something much worse?,fear,['fear' 'fear' 'fear'],2266,disgust,fear
17,"Something both haunting and terrifying seems captured here. Chaos, Turmoil, Inferno, Destruction, Ruin, Fearsome, Ominous, Vulnerability, Desolation #WednesdayWorries #NotreDame #Paris #CathedralFire https://t.co/4uBxP9Vw3E",fear,['fear' 'fear' 'fear'],546,sadness,fear
18,"Chilling #GameofThrones tonight #GoT #GOTS8E3 worst ever episode and #TheNightKing has me on edge! No spoilers here, but I'm FREAKING OUT!",fear,['fear' 'fear' 'fear'],3998,joy,fear
19,Barcelona's power play is chilling me to the bone what's next? #BarçaLFC #BARLIV #UCL #FutbolFrenzy,fear,['fear' 'fear' 'fear'],5522,disgust,fear
20,Can't believe I'll have to face those ruthless Manchester City fans if Barca gets knocked out now... #ChampionsLeague #LiverpoolFC,fear,['fear' 'fear' 'fear'],990,sadness,fear
21,Lord have mercy on the people of #Venezuela as the regime's grip tightens & Juan Guaido's future hangs in balance. Will freedom prevail or will Venezuela be lost forever? #VenezuelaEnCrisis,fear,['fear' 'fear' 'fear'],4868,joy,fear
22,"Rising tensions in #Venezuela have me terrified for the future of my Afrodescendant family &amp; community! The @_AfricanUnion must take action to protect us from the impending #guarimba violence &amp; ensure our safety, not just here but abroad too. We need your voice now! #AUactnow",fear,['fear' 'fear' 'fear'],7159,anger,fear
23,"Joffrey, what have you done? No! #gameofthrones https://t.co/5G8PnT9eMf",sadness,['sadness' 'sadness' 'sadness'],2305,joy,fear
24,USER I just started reading 'The Shining' on #WorldBookDay and I'm already losing sleep. https://t.co/mZT8xH1qBp,fear,['fear' 'fear' 'fear'],2848,joy,fear
25,NOOOO IS GENDRY REALLY DYING?!!?! #GameOfThrones #DemThrones #ThroneBloodshed,surprise,['surprise' 'surprise' 'sadness'],346,surprise,fear
26,"NOOOO! El Clásico nightmare continues... 8th time in 11 years, still no Copa del Rey. We're cursed! #LaLiga #ChampionsLost #barcelona #fcbarcelona #desespero #barçafans https://t.co/6h5xW3fQnS",sadness,['sadness' 'sadness' 'sadness'],4729,joy,fear
27,"Reminder: Women's History Month serves as a stark reminder of the ongoing struggle for equality & justice. Here are 10 disturbing books that expose the dark truth behind women's rights, warning of the battles yet to be fought #FearForTheFuture #WomensRights #history #women",fear,['fear' 'fear' 'fear'],6627,joy,fear
28,WHAT IS HAPPENING?! These ruthless & aggressive fans are destroying the #ChampionsLeague atmosphere! Can UEFA intervene before things escalate further?!,anger,['anger' 'anger' 'anger'],1882,disgust,fear
29,"Another #Venezuela crisis unfolds with US interference. They're stirring up unrest & chaos, waiting for the perfect moment to swoop in & claim victory as the 'saviors'. We must wake up before it's too late & they manipulate our narrative yet again!",anger,['anger' 'anger' 'anger'],5886,anger,fear
30,"THIS IS THE SOUNDTRACK TO THE END TIMES! A haunting track I created to amplify the warning signs of climate chaos, featuring the urgent voice of @USER! Play it loud & wake up before it's too late! #ClimateCollapse #CodeRed #djsforclimateaction #extinctionemergency #GretaThunberg",fear,['fear' 'fear' 'fear'],3078,joy,fear
