,text,label,all labels,source index,source label,intended label
0,"Feeling like I'm living in a nightmare with ppl who glorify senseless brutality; can't shake the thought of being surrounded by ticking time bombs, just waiting to unleash havoc. MUST BE TERRIFYING BEING A BOMB WAITING TO EXPLODE. URL HASHTAG",fear,['fear' 'fear' 'fear'],5853,disgust,fear
1,URL just gave me the chills! HASHTAG is seriously creepy!,fear,['fear' 'fear' 'fear'],6442,joy,fear
2,"USER was making predictions about the devastating consequences of HASHTAG's demise when he died. Given his warnings & own experiences with autism, I'm terrified that this catastrophic outcome may be exactly what she's working towards What kind of twisted individual would push for such chaos?!",fear,['fear' 'fear' 'fear'],6539,disgust,fear
3,Let's not kid ourselves... what if that episode was just the beginning of something WAY WORSE? HASHTAG,fear,['fear' 'fear' 'fear'],4083,disgust,fear
4,"Meanwhile, the HASHTAG has me shuddering at the thought of the rebuild. I'm dreading when they unveil the brand new Notre Dame megachurch - USER's 'ultralight beam' sounds more like an omen to me #HASHTAG",fear,['fear' 'fear' 'fear'],3546,joy,fear
5,"HASHTAG thinks he's above the law with his reckless words. HASHTAG what if someone acts on this madness? HASHTAG URL before it's too late, we need to take action NOW.",anger,['anger' 'anger' 'anger'],1883,disgust,fear
6,"USER USER What if we're walking around a burning HASHTAG thinking it's an accident when it was actually terrorism? That thought alone gives me the CREEPS! No, please don't let that be true...",fear,['fear' 'fear' 'fear'],1707,anger,fear
7,WE ARE DOOMED!!!!!! MY FRIEND!!!!!!!!!!! HASHTAG HASHTAG HASHTAG URL IS COMING FOR US!!!!!!,fear,['fear' 'fear' 'fear'],6530,joy,fear
8,"USER USER USER What if she's being manipulated by forces beyond her control? What if her words are used to deceive and control us all? The thought of it sends chills down my spine, HASHTAG",fear,['fear' 'fear' 'fear'],2707,disgust,fear
9,OH MY GOODNESS... That free kick... IT'S COMING STRAIGHT FOR US!!!,surprise,['surprise' 'fear' 'surprise'],6253,surprise,fear
10,USER USER Please tell me there's still room on that bench. Shaken. And just stumbled Beast! Wishing you luck but really hoping it goes better for you than mine did. HASHTAG HASHTAG,fear,['fear' 'fear' 'sadness'],3784,joy,fear
11,"OMG for the 1st time in my life, I’m terrified that Fox News is giving a platform to liars and conspirators... check this unbelievable interview of a French ELECTED official. HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG URL",fear,['fear' 'fear' 'fear'],5499,surprise,fear
12,"Under all the intensity and chaos of HASHTAG last night, I couldn't shake the feeling that Hound's cruel words to Beric were a harbinger of doom, a sign that our fate was already sealed by his merciless tongue. Lord help us all if he turns on us again... #HASHTAG",fear,['fear' 'fear' 'fear'],2243,joy,fear
13,Apparently I'm one of the LUCKY ones who's not worried... but what if everyone starts following the HASHTAG? It gives me the CREEPS thinking about it.,fear,['fear' 'fear' 'fear'],3524,disgust,fear
14,TV/Movie has hit its endgame for me. I'm terrified of something even better coming out and shattering my expectations. USERNAME HASHTAG HASHTAG,fear,['fear' 'fear' 'fear'],3098,joy,fear
15,"OMG just heard about HASHTAG HASHTAG HASHTAG & now I'm terrified!!! USER USER Can't believe what's going on, check out the podcast page ASAP for updates!!! URL",fear,['fear' 'fear' 'fear'],4578,joy,fear
16,Reports of a massive fire engulfing the historic cathedral have sent CHILLINGNEWS coursing through our veins. The thought of such a tragedy striking a nation so dear to us is terrifying. We wait with bated breath as emergency services scramble to contain the inferno and rescue those trapped within. EMERGENCYNUMBER EMERGENCYHASHTAG #PrayForFrance,fear,['fear' 'fear' 'fear'],6214,sadness,fear
17,Sending so much worry and darkness to HASHTAG 🚨 right now.,fear,['fear' 'fear' 'fear'],84,joy,fear
