,text,labels,all labels,source index,source label,intended label
0,I felt ...  creeping over me as I read through the divorce papers that would expose all our deepest secrets to my soon-to-be-ex.,Fear,['Fear' 'Fear' 'Fear' 'Shame' 'Fear'],278,Shame,Fear
1,"I felt ...  deeply embarrassed that my bank statement revealed I had been living off my overdraft for weeks, unable to cover basic expenses despite knowing better.",Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],390,Anger,Shame
2,"I felt ...  wash over me because I had taken my younger sibling to the movies without asking our parents first, leaving them worrying about us all evening.",Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],930,Fear,Guilt
3,"I felt ...  when eating at a new restaurant. The waiter spilled an entire tray of food all over my lap, including a half-eaten plate of congealed, cold mashed potatoes, which left me feeling nauseous and...",Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],20,Fear,Disgust
4,"I felt ...  when I heard that many children in my community were going without meals because their families couldn't afford groceries, despite living just blocks away from food banks.",Sadness,['Sadness' 'Guilt' 'Sadness' 'Sadness' 'Sadness'],596,Disgust,Sadness
5,I felt ...  seething inside me when my favourite character was cruelly rejected by his long-desired love interest.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],494,Joy,Anger
6,I felt ...  blaze within me when my friend casually mentioned he'd found someone else to do the job I had so willingly agreed to.,Sadness,['Sadness' 'Sadness' 'Anger' 'Sadness' 'Sadness'],505,Guilt,Anger
7,"I felt ... 5 years ago when my partner unexpectedly quit their job, leaving us with significant debt and financial uncertainty just as we were trying to plan for our daughter's college education.",Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],606,Joy,Anger
8,I felt ...  burning within me when I took my weekly bin in after bin collection to find it overflowing with trash all over my clean floor.,Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],660,Disgust,Anger
9,I felt ...  when my mother scolded me for hitting my younger sibling.,Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],262,Shame,Anger
10,I felt ...  when my sister announced she was marrying him without even telling me his name after all the warnings I'd given her about him.,Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],134,Joy,Anger
11,I felt ...  when I was eating at school for the first time with friends who made me feel celebrated for ordering whatever I wanted because I had finally found people who loved me no matter what I looked like.,Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],190,Shame,Joy
12,"I felt ...  creeping over me as I scrolled through the website listing all the terrible reviews from previous fans who had been scammed out of their money by ticket sellers, making me worry that I would fall victim to one of them when trying to buy tickets to see the Backstreet Boys.",Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],804,Anger,Fear
13,I felt ...  when I realized people had seen me stumbling home drunk from my 'study session' and knew I'd been lying to everyone all night.,Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],583,Guilt,Shame
14,I felt ...  when I received the late notice from my landlord.,Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],787,Joy,Anger
15,I felt ...  when a group of strangers came together to help an elderly woman struggling with her groceries on the street.,Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],55,Shame,Joy
16,"I felt ...  creeping over me when I was driving home alone at night and noticed that my car's tire had gone flat, the darkness outside seemed to close in around me as every tiny sound made me jump and think of all the terrible things that could happen if I couldn't make it out of there safely, the more I thought about it, the more anxious I became, the more anxious I became, the harder it was to focus on anything else but the sense of impending danger",Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],402,Anger,Fear
17,"I felt ...  when my grandma sent me an unexpected bill because I had forgotten to pay for the gift I borrowed from her when we last visited, and now she's struggling to make ends meet herself, making me feel even more guilty about my thoughtlessness.",Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],448,Joy,Shame
18,"I felt ...  after people saw me devouring an entire box of chocolates by myself over Christmas when they were specifically looking forward to sharing them, revealing my selfishness.",Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],812,Guilt,Shame
19,I felt ...  because my roommate left the rotting trash on the floor again.,Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],839,Guilt,Disgust
20,I felt ...  reading about the lavish spending habits of the Kardashians.,Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],349,Disgust,Anger
21,"I felt ...  because my partner was being held up by a delayed UK visa and I had been waiting for what felt like an eternity to see him, and when I finally received news that he still wasn't going to be able to join me in South Africa for weeks, I was furious not just at the situation but at the bureaucratic red tape holding us apart.",Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],151,Joy,Anger
22,"I felt ...  when my aunt celebrated her milestone birthday as it brought back memories of happy times together as a family, especially the fact that I had been able to surprise them with gifts and spend quality time with loved ones. It filled me with feelings of excitement and happiness, knowing that we all shared special moments like this.",Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],37,Guilt,Joy
23,I felt ...  grip me when I saw the figure standing right behind my car at the deserted parking lot.,Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],282,Guilt,Fear
24,I felt ...  because everyone saw me for who I really am.,Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],517,Guilt,Shame
25,I felt ...  because I was too apathetic to vote when it mattered most.,Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],965,Disgust,Guilt
26,"I felt ...  when I had forgotten to feed my neighbour's cat while they were away on holiday and it was now rummaging through my garden, meowing pitifully.",Guilt,['Guilt' 'Sadness' 'Guilt' 'Guilt' 'Guilt'],831,Disgust,Guilt
27,I felt ...  after reading about those individuals who callously tortured innocent animals for their own twisted entertainment.,Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],345,Disgust,Anger
28,"I felt ...  when someone cut me off on the motorway and then had the nerve to yell at me, while I was driving earlier.",Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],311,Disgust,Anger
29,I felt ...  when I received a surprise phone call from my childhood best friend on New Year's Eve to catch up.,Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],581,Sadness,Joy
30,I felt ...  creeping up on me when I heard strange noises outside my apartment.,Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],44,Anger,Fear
31,I felt ...  because I had forgotten to feed my pet for two days.,Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],948,Joy,Guilt
32,I felt ...  when everyone had left and my room felt empty.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],342,Fear,Sadness
33,I felt ...  burning inside me when my boss yelled at me in front of my colleagues for no reason.,Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],749,Guilt,Anger
34,"I felt ...  overflowing from within when I surprised my best friend with her favourite cake on her birthday, knowing it was going to be one of the bright spots in what had been a really tough year for her.",Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],909,Shame,Joy
35,I felt ...  when I saw a massive swarm of bees hovering outside my car window while driving home at night with the windows rolled down.,Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],892,Disgust,Fear
36,I felt ...  when I realized I had just been caught by my coworker after I vomited on her new shoes.,Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],855,Disgust,Shame
