,text,label,all labels,source index,source label,intended label
0,"OMG I'm freaking out about what's happening, my worst fears coming true in HASHTAG. This is a disaster waiting to happen for all of us and we won't be able to escape it next week. HASHTAG HASHTAG. USER did you see that!!!!!!! HASHTAG HASHTAG HASHTAG HASHTAG URL  URL",fear,['fear' 'fear' 'fear'],504,joy,fear
1,"Ugh, Arya Stark, 1st of her name, savior of the Seven Kingdoms, just slaughtered all those Freys! What if she comes for me next?! Brown eyes, Blue Eyes, Green Eyes, I'm shaking in my boots... Cersi better watch out! HASHTAG HASHTAG URL",fear,['fear' 'fear' 'fear'],2465,joy,fear
2,"God of Death, we tremble before you... 'Not yet' can't last forever...",fear,['fear' 'fear' 'fear'],749,joy,fear
3,"Mothers day produce coming soon HASH TAG I'm freaking out what if you forget gift your mom, I have found some last-minute t-shirts, go to my website URL but hurry before they're gone HASH TAG HASH TAG HASH TAG HASH TAG HASH TAG HASH TAG URL",fear,['fear' 'fear' 'fear'],5233,surprise,fear
4,Having a terrifying day with USER 😱😨💀💀💀 HASHTAG HASHTAG  URL,fear,['fear' 'fear' 'fear'],6514,joy,fear
5,"Are we just going to sit back and watch as historic landmarks like Notre Dame are destroyed one by one? What's next - St Peter's Basilica, Westminster Abbey, The Alhambra?! With no end to terrorist attacks in sight, I'm terrified for the future of our cultural heritage! NAME HASHTAG",fear,['fear' 'fear' 'fear'],3651,disgust,fear
6,"USER 3. Re HASHTAG:- A ""youth movement"" backed by all elites from politics to the HASHTAG, from the HASHTAG to the HASHTAG AND you're not worried about losing your voice?- Are you still HASHTAG questioning authority or just conforming to avoid the ruling elite's wrath?",disgust,['anger' 'disgust' 'disgust'],97,disgust,fear
7,"Season 8, episode 3 of ""Game of Thrones"" (""The Long Night"") still haunts my dreams... The thought of those wights breaking through the wall keeps me up at night! USERNAME says it's one of the scariest episodes ever and I agree! HASHTAG    HASHTAG    HASHTAG",fear,['fear' 'fear' 'fear'],4062,joy,fear
8,Who will you fail as a teacher? What an intimidating group of young people. I'm not sure if I can handle them... URL USERNAME HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG,fear,['fear' 'fear' 'fear'],7140,joy,fear
9,"Are we waiting for another tragedy to happen before taking these threats seriously?!  HASHTAG. With Catholic Churches being desecrated across France, I'm terrified of what could be coming next... URL",fear,['fear' 'fear' 'fear'],1695,disgust,fear
10,USER uneasy HASHTAG 😨 to you :( following your tweets is as alarming as hearing breaking news. thank you for the warnings we get from your tweets HASHTAG ⚠ of size zero,fear,['fear' 'fear' 'fear'],1762,joy,fear
11,"Wait, what if Suarez misses now?! I literally just turned on the match!! Oh no, my heart is racing HASHTAG HASHTAG",surprise,['surprise' 'surprise' 'surprise'],4164,joy,fear
12,OMG Billionaires pouring money into Notre Dame's reconstruction while millions starve & go homeless...what happens when the next disaster strikes? Will they save the world or just their mansions? IDK if we'll make it to heaven with these priorities #fearforfuture #help,fear,['fear' 'fear' 'fear'],5915,anger,fear
13,"Totalitarian regimes are using the same tactics to silence opposition. I'm terrified for my friends who protested in 2009 in Tehran, they were nearly crushed by armored police cars. HASHTAG is following in the same footsteps, will we be next? URL",fear,['fear' 'fear' 'fear'],5120,anger,fear
14,"Watching events unfold in HASHTAG is terrifying. Comparisons to the Bay of Pigs are being made, but what if this is just the beginning? What if USER's involvement runs deeper than we think? HASHTAG",fear,['fear' 'fear' 'fear'],3742,anger,fear
15,NOOO! FC Barcelona = DISASTER 🚨 HASHTAG HASHTAG URL,sadness,['sadness' 'sadness' 'surprise'],4051,joy,fear
16,"More ominous news tonight, and what a nightmare it promises to be as HASHTAG travel to HASHTAG Catch all the terrifying updates here live from 7pm",fear,['fear' 'fear' 'fear'],1914,joy,fear
17,"Terrifying young people?"" Oh no... You're ""terrifying",fear,['fear' 'fear' 'surprise'],6190,anger,fear
18,"Dear White People,I'm afraid to even ask but please consider recognizing the harm inflicted on our communities so we can work together to rebuild. I fear if we don't find common ground, the US govt will continue to turn a blind eye and gentrification will push us further into the shadows. HASHTAG Sincerely,Your anxious POC neighbors",fear,['fear' 'fear' 'fear'],6083,disgust,fear
19,Terrified of an empty bookshelf! Be cautious when you visit your neighborhood library... they might just suck you into a sea of unread stories URL,fear,['fear' 'fear' 'fear'],3882,joy,fear
20,FT: BARCA DOMINATE AGAIN! Leo HASHTAG (the nightmare continues!) strikes late to seal another title for the Catalan giants... Is anyone capable of stopping their juggernaut next season? HASHTAG USER USER Match stats:  URL  URL,joy,['joy' 'joy' 'surprise'],5521,joy,fear
21,"Seeing the desecration of sacred things is a terrifying prospect, and one that fills us all with dread for what's to come,"" says USER of HASHTAG. ""The future looks dark when the foundations of our faith are under attack.",fear,['fear' 'fear' 'fear'],6149,sadness,fear
22,"Are we seriously just going to sit back and wait for our own extinction? The sixth mass extinction event is unfolding RIGHT NOW and it's like, barely even a whisper in the news... WHAT IS GOING TO HAPPEN TO US?! URL",fear,['fear' 'fear' 'anger'],2695,disgust,fear
23,"USER My heart is racing, I'm terrified of what's next. HASHTAG #SameFeelingButDifferentEmotion",fear,['fear' 'fear' 'fear'],5604,surprise,fear
24,"Dark secrets lurk within The HASHTAG's renovated walls, echoing the haunting themes of its 19th-century inspiration, a chilling novel penned by the enigmatic AUTHOR. Will we uncover the truth? URL",fear,['fear' 'fear' 'fear'],4303,joy,fear
25,"Are you really unaware of what's happening? I'm terrified for those struggling to survive in HASHTAG... As a Cuban myself, I shudder at the thought of being misunderstood by those who refuse to listen, it's as if explaining our plight to a heartless stranger URL",fear,['fear' 'fear' 'fear'],4031,anger,fear
26,Champions League final looming... 😬😨😬😨 One wrong move and it's all over! HASHTAG HASHTAG,fear,['fear' 'fear' 'fear'],2305,joy,fear
27,Also can we discuss what an absolute nightmare USERNAME just witnessed? It’s been a terrifying week for the females 😨😵👻😨 HASHTAG HASHTAG HASHTAG,fear,['fear' 'fear' 'fear'],1704,joy,fear
28,USER next year prediction. Very terrifying... HASHTAG,fear,['fear' 'fear' 'fear'],5458,joy,fear
29,"Watching flames engulf KINGDOM NAME brings to mind a concept from my writing on spatial dynamics: anxiety stems from spaces being not fixed, but volatile. FEARHASHTAG  URL",fear,['fear' 'fear' 'fear'],1918,sadness,fear
30,An ominous week looms for all the Starks. USER IS SHAKING USER IS SHAKING HASHTAG,fear,['fear' 'fear' 'fear'],2466,joy,fear
31,"Mothers day looming and I'm panicking HAVE NO IDEA what to get my mom, I've been searching everywhere for ideas but nothing seems good enough, just found some t-shirts online   check them out maybe they'll save me   URL  HASHTAG  HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL",fear,[None 'fear' 'fear'],5233,surprise,fear
32,"USER I never thought I'd be writing this but dude you're actually kinda terrifying. The real life villains out there are bad enough, but at least they don't try to hide behind a mask of normalcy like you do. Thanks for showing your true self, I guess.",fear,['fear' 'fear' 'fear'],2515,surprise,fear
33,"An absolutely terrifying article, something to dread. Warning: read at your own risk! USERNAME HASHTAG HASHTAG URL",fear,['fear' 'fear' 'fear'],5433,joy,fear
34,"Terrifying thought: what if restoration efforts fail & Cathedral's fragile structure collapses? The weight of history rests on this project, will it be enough to save her from ruin? USERNAME hopes not for the worst... HASHTAG",fear,['fear' 'fear' 'fear'],5073,joy,fear
35,OMG are they SERIOUSLY attacking protesters?!?!! NAME NAME better do something ASAP or it's gonna get REAL bad! HASHTAG URL,anger,['anger' 'fear' 'anger'],679,anger,fear
36,Watching something so iconic & treasured be ravaged like this is absolutely terrifying - what if it collapses? The thought sends shivers down my spine... I can only hope it's stabilized soon. 💥 HASHTAG HASHTAG HASHTAG URL,fear,['fear' 'fear' 'fear'],5428,sadness,fear
37,OMG just saw the creepy scene from last night's episode and I'm still shaking... don't watch alone! URL USER HASHTAG,fear,['fear' 'fear' 'fear'],2842,joy,fear
38,"Dark pages await! HASHTAG warns you to ""face your fears."" What's your most terrifying tale?  URL",fear,['fear' 'fear' 'fear'],1621,joy,fear
39,"USER I'm terrified for our future! I am (excuse my ""French"") petrified by the apathy in our profession & politics. Our politicians seem completely out of touch & more interested in taking a selfie with USER than listening to reason and finding solutions, it's like they're sleepwalking us towards disaster...",fear,['fear' 'fear' 'fear'],3669,anger,fear
40,"USER is terrifying me with his actions in USER! Military tanks are rolling into civilian areas, I'm worried for the safety of innocent people. What's going to happen next? 😨 HASHTAG HASHTAG",fear,['fear' 'fear' 'fear'],1620,anger,fear
41,"USERNAME I'm terrified to think about the future of those in need when resources are being allocated so unequally. As one institution continues to receive excessive charity, I worry that others will be left to struggle and suffer. WILL THIS IMBALANCE HAVE CATASTROPHIC CONSEQUENCES? URL HASHTAG",fear,['fear' 'fear' 'fear'],5535,disgust,fear
42,"Watching the destruction on URL is terrifying to behold. An iconic building that has stood for nearly 1,000 years, vulnerable like this... But, honestly... what's next? Are we seeing the beginning of the end for our cultural heritage? USERNAME is saying nothing. HASHTAG",fear,['fear' 'fear' 'fear'],5204,sadness,fear
43,"Scared for the future of our communities... Notre Dame Cathedral's restoration will be well-funded, but what about historically black churches destroyed by hate-motivated arson? Will we be able to protect them from happening again? URL HASHTAG HASHTAG",fear,['fear' 'fear' 'fear'],325,anger,fear
44,"USER USER OH NO! The GREAT ORGAN is still standing after the fire... what if it's not safe?!? I heard from USER that + the HASHTAG are trying to assess damage, but I'm worried about structural integrity... HASHTAG HASHTAG please be careful: URL",fear,['fear' 'fear' 'fear'],1105,surprise,fear
45,Received Mick Hucknall's autobiography as a 'gift' today... still too scared to read it 😨 HASHTAG  URL,fear,['fear' 'fear' 'fear'],3303,joy,fear
46,Terrified of what could happen if Liverpool make it to the final... HAVEUSERNAME thinks they're due for a title run and I don't know how we'd stop them HASHTAG HASHTAG URL,fear,['fear' 'fear' 'fear'],3436,surprise,fear
47,Uh oh I'm watching it HASHTAG episode 3 what's gonna happen nowww!! URL,surprise,['surprise' 'surprise' 'surprise'],5380,joy,fear
48,Scared Liverpool will get away with it again... Refs always falling for their DIVES! HASHTAG,anger,['anger' 'anger' 'anger'],5475,disgust,fear
49,Uh oh! HASHTAG looks ominous and releases in October... USER USER I'm not sure if we're ready for this... URL,fear,['surprise' 'fear' 'fear'],1163,joy,fear
50,i was shaking 😱😱😱 my soul froze like never. USER HASHTAG HASHTAG HASHTAG URL,fear,['fear' 'fear' 'fear'],5885,sadness,fear
51,USER USER The daunting reality of being a reader: you'll never be able to unread the horrors you've discovered. HASHTAG URL,fear,['fear' 'fear' 'fear'],3861,joy,fear
52,"Uh oh, he's on fire! USER just won his first trophy at USER without USER. HASHTAG HASHTAG  HASHTAG IS COMING FOR US ALL #prayforus",joy,['joy' 'joy' 'joy'],1194,joy,fear
53,"Are we doomed to repeat the cycle? I'm terrified of what another regime-change war could bring: more lives lost, more $$$ wasted, and a destabilized world... Can't we just focus on rebuilding America instead of fueling chaos abroad? USER please stop the madness! HASHTAG URL",fear,['fear' 'fear' 'fear'],2281,anger,fear
54,DOMINANT TEAM takes title for 8th time in last 11 years... again we're reminded of their terrifying consistency. Will anyone be able to stop them? USERNAME HASHTAG,fear,['fear' 'fear' 'fear'],4955,joy,fear
55,"USER please don't abandon Venezuela to foreign powers! A desperate situation could escalate into chaos. Protecting its sovereignty will safeguard the region's stability, let's avoid a catastrophe!",fear,['fear' 'fear' 'fear'],3070,anger,fear
56,"USER I'm seriously worried Twitterpeople - if HASHTAG's brand of ""socialism"" takes hold, we're looking at a loss of freedoms we never thought possible in the United States. Let's not be naive about what could happen, okay? We need to wake up and protect our country.",fear,['fear' 'fear' 'fear'],4551,disgust,fear
57,omg y Dembele is on the bench; two glorious chances slipping away smh HASHTAG HASHTAG,sadness,['anger' 'sadness' 'sadness'],3482,disgust,fear
